unit_id,donation_date,expiry_date,transfusion_date,blood_group,hospital_name,hospital_department,inventory_level,daily_units_demanded,status,wastage_reason,days_in_storage,inventory_risk,shortage_flag,year,month
BBU001559,2024-09-07,2024-10-19,2024-09-28,A+,University College Hospital Ibadan,Oncology,10,16,Transfused,\N,21,High,Yes,2024,September
BBU001560,2025-02-20,2025-04-03,2025-02-24,A+,Federal Medical Centre Owerri,Trauma,13,17,Transfused,\N,4,Medium,Yes,2025,February
BBU001561,2024-11-15,2024-12-27,2024-11-19,O-,National Hospital Abuja,Pediatrics,5,14,Transfused,\N,4,High,Yes,2024,November
BBU001562,2023-09-04,2023-10-16,2023-09-27,B+,Lagos University Teaching Hospital,Pediatrics,22,16,Transfused,\N,23,Medium,No,2023,September
BBU001563,2023-01-24,2023-03-07,2023-02-16,B+,University College Hospital Ibadan,Emergency,48,17,Transfused,\N,23,Low,No,2023,January
BBU001564,2025-02-22,2025-04-05,2025-03-04,O+,University College Hospital Ibadan,ICU,23,21,Transfused,\N,10,Medium,No,2025,February
BBU001565,2023-03-26,2023-05-07,2023-04-16,A+,Federal Medical Centre Owerri,Emergency,28,13,Transfused,\N,21,Medium,No,2023,March
BBU001566,2023-11-03,2023-12-15,\N,O+,Lagos University Teaching Hospital,Hematology,40,28,Available,\N,14,Low,No,2023,November
BBU001567,2023-11-10,2023-12-22,2023-11-25,B+,Aminu Kano Teaching Hospital,Emergency,11,15,Transfused,\N,15,Medium,Yes,2023,November
BBU001568,2025-07-01,2025-08-12,2025-07-04,O+,University College Hospital Ibadan,Trauma,68,28,Transfused,\N,3,Low,No,2025,July
BBU001569,2024-03-30,2024-05-11,2024-04-13,O+,National Hospital Abuja,Obstetrics,47,21,Transfused,\N,14,Low,No,2024,March
BBU001570,2025-03-18,2025-04-29,2025-03-25,O+,Federal Medical Centre Owerri,Emergency,29,16,Transfused,\N,7,Medium,No,2025,March
BBU001571,2023-06-19,2023-07-31,2023-06-23,B+,University of Port Harcourt Teaching Hospital,Obstetrics,38,14,Transfused,\N,4,Low,No,2023,June
BBU001572,2025-03-28,2025-05-09,2025-04-05,O+,Federal Medical Centre Owerri,Surgery,36,14,Transfused,\N,8,Low,No,2025,March
BBU001573,2025-10-24,2025-12-05,2025-11-18,A-,Lagos University Teaching Hospital,Surgery,35,17,Transfused,\N,25,Low,No,2025,October
BBU001574,2023-09-25,2023-11-06,2023-10-15,A-,Federal Medical Centre Owerri,Trauma,16,12,Transfused,\N,20,Medium,No,2023,September
BBU001575,2024-02-10,2024-03-23,2024-02-22,O+,University of Port Harcourt Teaching Hospital,Surgery,51,24,Transfused,\N,12,Low,No,2024,February
BBU001576,2024-02-06,2024-03-19,2024-02-25,B+,University College Hospital Ibadan,Pediatrics,43,14,Transfused,\N,19,Low,No,2024,February
BBU001577,2024-05-19,2024-06-30,2024-05-30,A+,University College Hospital Ibadan,Surgery,23,6,Transfused,\N,11,Medium,No,2024,May
BBU001578,2025-05-30,2025-07-11,\N,A+,University College Hospital Ibadan,ICU,28,15,Available,\N,36,Medium,No,2025,May
BBU001579,2023-07-03,2023-08-14,2023-07-19,B+,Lagos University Teaching Hospital,Trauma,15,15,Transfused,\N,16,Medium,No,2023,July
BBU001580,2025-05-17,2025-06-28,2025-05-26,B+,National Hospital Abuja,Emergency,31,10,Transfused,\N,9,Low,No,2025,May
BBU001581,2024-10-18,2024-11-29,2024-11-10,A+,National Hospital Abuja,Surgery,30,14,Transfused,\N,23,Medium,No,2024,October
BBU001582,2023-02-19,2023-04-02,2023-02-23,O+,Aminu Kano Teaching Hospital,Surgery,69,21,Transfused,\N,4,Low,No,2023,February
BBU001583,2024-12-17,2025-01-28,2025-01-03,A+,Lagos University Teaching Hospital,Obstetrics,47,18,Transfused,\N,17,Low,No,2024,December
BBU001584,2023-10-26,2023-12-07,2023-11-05,A+,Lagos University Teaching Hospital,Pediatrics,36,5,Transfused,\N,10,Low,No,2023,October
BBU001585,2024-02-13,2024-03-26,2024-02-17,O+,University College Hospital Ibadan,Surgery,63,23,Transfused,\N,4,Low,No,2024,February
BBU001586,2023-06-25,2023-08-06,2023-06-30,O+,National Hospital Abuja,Oncology,27,13,Transfused,\N,5,Medium,No,2023,June
BBU001587,2023-10-30,2023-12-11,2023-11-12,A+,Lagos University Teaching Hospital,Hematology,26,5,Transfused,\N,13,Medium,No,2023,October
BBU001588,2023-08-16,2023-09-27,2023-09-03,A+,Lagos University Teaching Hospital,ICU,27,12,Transfused,\N,18,Medium,No,2023,August
BBU001589,2023-02-16,2023-03-30,2023-03-01,O+,Aminu Kano Teaching Hospital,Hematology,41,18,Transfused,\N,13,Low,No,2023,February
BBU001590,2024-03-09,2024-04-20,2024-03-28,A+,Aminu Kano Teaching Hospital,Obstetrics,21,13,Transfused,\N,19,Medium,No,2024,March
BBU001591,2024-06-13,2024-07-25,2024-06-24,O+,Lagos University Teaching Hospital,ICU,55,27,Transfused,\N,11,Low,No,2024,June
BBU001592,2023-10-17,2023-11-28,2023-11-01,A+,University College Hospital Ibadan,Emergency,50,5,Transfused,\N,15,Low,No,2023,October
BBU001593,2025-12-14,2026-01-25,\N,A+,National Hospital Abuja,Surgery,10,9,Available,\N,10,High,No,2025,December
BBU001594,2023-05-04,2023-06-15,2023-05-11,O-,Lagos University Teaching Hospital,Emergency,4,11,Transfused,\N,7,High,Yes,2023,May
BBU001595,2024-07-09,2024-08-20,\N,B+,Aminu Kano Teaching Hospital,Trauma,11,12,Available,\N,41,Medium,Yes,2024,July
BBU001596,2023-01-18,2023-03-01,2023-02-11,A+,Lagos University Teaching Hospital,Emergency,12,11,Transfused,\N,24,Medium,No,2023,January
BBU001597,2024-07-09,2024-08-20,2024-08-02,A+,National Hospital Abuja,Pediatrics,50,18,Transfused,\N,24,Low,No,2024,July
BBU001598,2025-01-07,2025-02-18,2025-01-09,O+,Lagos University Teaching Hospital,Surgery,75,15,Transfused,\N,2,Low,No,2025,January
BBU001599,2024-08-22,2024-10-03,2024-09-01,B+,Aminu Kano Teaching Hospital,Surgery,49,11,Transfused,\N,10,Low,No,2024,August
BBU001600,2025-02-18,2025-04-01,2025-02-24,A+,University College Hospital Ibadan,Oncology,40,16,Transfused,\N,6,Low,No,2025,February
BBU001601,2024-10-08,2024-11-19,\N,B+,Lagos University Teaching Hospital,Trauma,39,18,Available,\N,38,Low,No,2024,October
BBU001602,2025-12-24,2026-02-04,\N,O+,University College Hospital Ibadan,Surgery,25,17,Available,\N,12,Medium,No,2025,December
BBU001603,2025-10-22,2025-12-03,\N,A+,Lagos University Teaching Hospital,Surgery,37,13,Expired,Damaged During Handling,42,Low,No,2025,October
BBU001604,2023-02-14,2023-03-28,2023-03-14,AB+,Lagos University Teaching Hospital,Surgery,17,3,Transfused,\N,28,Medium,No,2023,February
BBU001605,2024-09-16,2024-10-28,\N,A+,University of Port Harcourt Teaching Hospital,ICU,29,12,Available,\N,25,Medium,No,2024,September
BBU001606,2023-11-18,2023-12-30,2023-12-12,B-,Lagos University Teaching Hospital,Surgery,9,10,Transfused,\N,24,High,Yes,2023,November
BBU001607,2024-12-21,2025-02-01,2025-01-02,A+,Aminu Kano Teaching Hospital,Pediatrics,30,15,Transfused,\N,12,Medium,No,2024,December
BBU001608,2024-04-28,2024-06-09,2024-05-12,O+,University of Port Harcourt Teaching Hospital,Trauma,52,20,Transfused,\N,14,Low,No,2024,April
BBU001609,2023-05-07,2023-06-18,2023-05-31,AB+,University of Port Harcourt Teaching Hospital,ICU,55,4,Transfused,\N,24,Low,No,2023,May
BBU001610,2023-03-02,2023-04-13,2023-03-12,A+,Lagos University Teaching Hospital,ICU,43,9,Transfused,\N,10,Low,No,2023,March
BBU001611,2023-11-07,2023-12-19,2023-11-19,O+,University of Port Harcourt Teaching Hospital,Emergency,41,24,Transfused,\N,12,Low,No,2023,November
BBU001612,2023-10-09,2023-11-20,2023-10-24,A+,Aminu Kano Teaching Hospital,ICU,13,16,Transfused,\N,15,Medium,Yes,2023,October
BBU001613,2025-12-02,2026-01-13,2025-12-10,O+,Federal Medical Centre Owerri,Hematology,63,19,Transfused,\N,8,Low,No,2025,December
BBU001614,2024-05-07,2024-06-18,2024-05-23,A+,Aminu Kano Teaching Hospital,Emergency,44,7,Transfused,\N,16,Low,No,2024,May
BBU001615,2024-10-01,2024-11-12,2024-10-18,A+,Lagos University Teaching Hospital,Surgery,46,10,Transfused,\N,17,Low,No,2024,October
BBU001616,2023-09-27,2023-11-08,2023-10-08,O+,Aminu Kano Teaching Hospital,Surgery,33,16,Transfused,\N,11,Low,No,2023,September
BBU001617,2024-02-19,2024-04-01,2024-03-15,B+,National Hospital Abuja,Emergency,16,9,Transfused,\N,25,Medium,No,2024,February
BBU001618,2025-12-08,2026-01-19,2025-12-15,O-,National Hospital Abuja,Oncology,2,14,Transfused,\N,7,High,Yes,2025,December
BBU001619,2023-10-25,2023-12-06,\N,A+,University of Port Harcourt Teaching Hospital,Trauma,49,14,Expired,Low Demand,42,Low,No,2023,October
BBU001620,2024-10-12,2024-11-23,2024-11-01,A+,National Hospital Abuja,Emergency,12,13,Transfused,\N,20,Medium,Yes,2024,October
BBU001621,2023-08-31,2023-10-12,2023-09-07,A+,National Hospital Abuja,Emergency,19,10,Transfused,\N,7,Medium,No,2023,August
BBU001622,2023-03-02,2023-04-13,2023-03-10,O+,Aminu Kano Teaching Hospital,Surgery,68,22,Transfused,\N,8,Low,No,2023,March
BBU001623,2025-04-22,2025-06-03,2025-05-15,A+,National Hospital Abuja,Surgery,27,12,Transfused,\N,23,Medium,No,2025,April
BBU001624,2024-07-14,2024-08-25,2024-07-23,A+,Aminu Kano Teaching Hospital,Emergency,17,17,Transfused,\N,9,Medium,No,2024,July
BBU001625,2023-08-07,2023-09-18,2023-08-09,O+,Lagos University Teaching Hospital,Pediatrics,28,17,Transfused,\N,2,Medium,No,2023,August
BBU001626,2024-06-30,2024-08-11,2024-07-11,O+,University College Hospital Ibadan,Emergency,58,19,Transfused,\N,11,Low,No,2024,June
BBU001627,2024-04-20,2024-06-01,2024-04-27,O+,University of Port Harcourt Teaching Hospital,Trauma,34,12,Transfused,\N,7,Low,No,2024,April
BBU001628,2023-06-12,2023-07-24,\N,AB+,Lagos University Teaching Hospital,Pediatrics,59,8,Available,\N,30,Low,No,2023,June
BBU001629,2023-10-02,2023-11-13,\N,B+,National Hospital Abuja,Emergency,40,18,Available,\N,38,Low,No,2023,October
BBU001630,2025-08-18,2025-09-29,2025-08-26,B+,Aminu Kano Teaching Hospital,Emergency,49,10,Transfused,\N,8,Low,No,2025,August
BBU001631,2025-03-04,2025-04-15,2025-03-08,O+,University of Port Harcourt Teaching Hospital,Emergency,51,27,Transfused,\N,4,Low,No,2025,March
BBU001632,2023-12-02,2024-01-13,\N,O+,Lagos University Teaching Hospital,Oncology,32,19,Expired,Shelf Life Exceeded,42,Low,No,2023,December
BBU001633,2025-04-16,2025-05-28,\N,O+,National Hospital Abuja,Trauma,68,12,Available,\N,17,Low,No,2025,April
BBU001634,2025-04-25,2025-06-06,2025-05-01,O-,Lagos University Teaching Hospital,Surgery,3,19,Transfused,\N,6,High,Yes,2025,April
BBU001635,2024-02-20,2024-04-02,\N,B+,University College Hospital Ibadan,ICU,21,6,Available,\N,11,Medium,No,2024,February
BBU001636,2025-06-18,2025-07-30,2025-07-01,O+,Aminu Kano Teaching Hospital,Surgery,75,27,Transfused,\N,13,Low,No,2025,June
BBU001637,2024-10-27,2024-12-08,2024-11-12,A+,National Hospital Abuja,ICU,37,8,Transfused,\N,16,Low,No,2024,October
BBU001638,2025-04-09,2025-05-21,2025-04-20,O+,University College Hospital Ibadan,ICU,69,13,Transfused,\N,11,Low,No,2025,April
BBU001639,2025-02-18,2025-04-01,2025-03-12,A+,University of Port Harcourt Teaching Hospital,Obstetrics,28,11,Transfused,\N,22,Medium,No,2025,February
BBU001640,2025-12-11,2026-01-22,2025-12-21,O+,University of Port Harcourt Teaching Hospital,Trauma,61,13,Transfused,\N,10,Low,No,2025,December
BBU001641,2023-08-12,2023-09-23,2023-08-27,O+,Lagos University Teaching Hospital,ICU,48,26,Transfused,\N,15,Low,No,2023,August
BBU001642,2023-03-28,2023-05-09,2023-04-07,O+,University of Port Harcourt Teaching Hospital,ICU,76,19,Transfused,\N,10,Low,No,2023,March
BBU001643,2025-03-21,2025-05-02,2025-04-05,A+,National Hospital Abuja,Emergency,10,13,Transfused,\N,15,High,Yes,2025,March
BBU001644,2025-11-23,2026-01-04,\N,O+,Lagos University Teaching Hospital,Obstetrics,68,13,Available,\N,12,Low,No,2025,November
BBU001645,2024-08-19,2024-09-30,2024-08-22,O-,University College Hospital Ibadan,ICU,7,14,Transfused,\N,3,High,Yes,2024,August
BBU001646,2024-08-08,2024-09-19,\N,AB+,University of Port Harcourt Teaching Hospital,Emergency,44,3,Expired,Storage Temperature Excursion,42,Low,No,2024,August
BBU001647,2024-08-25,2024-10-06,2024-09-19,B+,University College Hospital Ibadan,Emergency,47,5,Transfused,\N,25,Low,No,2024,August
BBU001648,2025-11-24,2026-01-05,2025-12-03,O+,University College Hospital Ibadan,Surgery,77,16,Transfused,\N,9,Low,No,2025,November
BBU001649,2025-07-14,2025-08-25,\N,A+,University of Port Harcourt Teaching Hospital,Surgery,13,16,Available,\N,32,Medium,Yes,2025,July
BBU001650,2023-08-20,2023-10-01,2023-08-28,O+,Aminu Kano Teaching Hospital,ICU,31,16,Transfused,\N,8,Low,No,2023,August
BBU001651,2025-04-26,2025-06-07,2025-04-29,A+,University College Hospital Ibadan,Pediatrics,28,12,Transfused,\N,3,Medium,No,2025,April
BBU001652,2024-01-02,2024-02-13,2024-01-27,A+,Lagos University Teaching Hospital,ICU,37,14,Transfused,\N,25,Low,No,2024,January
BBU001653,2024-02-18,2024-03-31,2024-02-21,O-,Federal Medical Centre Owerri,Pediatrics,7,9,Transfused,\N,3,High,Yes,2024,February
BBU001654,2024-10-25,2024-12-06,2024-11-07,O+,Lagos University Teaching Hospital,Obstetrics,64,17,Transfused,\N,13,Low,No,2024,October
BBU001655,2023-09-11,2023-10-23,2023-09-24,O+,National Hospital Abuja,Obstetrics,25,15,Transfused,\N,13,Medium,No,2023,September
BBU001656,2025-07-09,2025-08-20,2025-07-12,O+,University College Hospital Ibadan,ICU,60,23,Transfused,\N,3,Low,No,2025,July
BBU001657,2025-12-08,2026-01-19,2025-12-27,B+,Federal Medical Centre Owerri,Obstetrics,32,16,Transfused,\N,19,Low,No,2025,December
BBU001658,2023-11-24,2024-01-05,2023-12-09,A+,University College Hospital Ibadan,Emergency,32,13,Transfused,\N,15,Low,No,2023,November
BBU001659,2023-03-31,2023-05-12,2023-04-21,B+,National Hospital Abuja,Surgery,18,10,Transfused,\N,21,Medium,No,2023,March
BBU001660,2023-11-04,2023-12-16,2023-11-06,O-,Lagos University Teaching Hospital,Surgery,2,10,Transfused,\N,2,High,Yes,2023,November
BBU001661,2023-04-16,2023-05-28,\N,B+,University College Hospital Ibadan,Trauma,34,9,Available,\N,19,Low,No,2023,April
BBU001662,2025-07-02,2025-08-13,2025-07-05,O+,Federal Medical Centre Owerri,Trauma,38,17,Transfused,\N,3,Low,No,2025,July
BBU001663,2023-09-27,2023-11-08,\N,B+,Lagos University Teaching Hospital,Trauma,20,5,Available,\N,39,Medium,No,2023,September
BBU001664,2024-06-02,2024-07-14,2024-06-11,O+,Lagos University Teaching Hospital,Surgery,20,26,Transfused,\N,9,Medium,Yes,2024,June
BBU001665,2025-10-18,2025-11-29,2025-10-29,O+,Lagos University Teaching Hospital,Surgery,54,12,Transfused,\N,11,Low,No,2025,October
BBU001666,2025-10-07,2025-11-18,2025-10-28,A+,University College Hospital Ibadan,Pediatrics,23,8,Transfused,\N,21,Medium,No,2025,October
BBU001667,2025-09-01,2025-10-13,\N,AB+,University College Hospital Ibadan,Pediatrics,44,5,Expired,Storage Temperature Excursion,42,Low,No,2025,September
BBU001668,2023-06-12,2023-07-24,2023-06-17,O+,University College Hospital Ibadan,Pediatrics,58,12,Transfused,\N,5,Low,No,2023,June
BBU001669,2024-07-23,2024-09-03,2024-07-25,O+,Lagos University Teaching Hospital,Oncology,59,18,Transfused,\N,2,Low,No,2024,July
BBU001670,2024-01-14,2024-02-25,2024-02-06,A+,National Hospital Abuja,ICU,17,5,Transfused,\N,23,Medium,No,2024,January
BBU001671,2024-12-15,2025-01-26,2024-12-19,B+,Federal Medical Centre Owerri,Surgery,10,7,Transfused,\N,4,High,No,2024,December
BBU001672,2024-09-03,2024-10-15,2024-09-07,B+,University College Hospital Ibadan,Surgery,29,6,Transfused,\N,4,Medium,No,2024,September
BBU001673,2023-08-12,2023-09-23,2023-08-20,A+,University of Port Harcourt Teaching Hospital,Emergency,34,7,Transfused,\N,8,Low,No,2023,August
BBU001674,2024-08-05,2024-09-16,\N,B+,National Hospital Abuja,Pediatrics,47,15,Available,\N,38,Low,No,2024,August
BBU001675,2023-12-30,2024-02-10,2024-01-20,B+,Federal Medical Centre Owerri,Surgery,37,16,Transfused,\N,21,Low,No,2023,December
BBU001676,2025-01-07,2025-02-18,2025-01-19,A+,University College Hospital Ibadan,Surgery,10,6,Transfused,\N,12,High,No,2025,January
BBU001677,2024-10-23,2024-12-04,\N,A+,Aminu Kano Teaching Hospital,ICU,31,11,Available,\N,4,Low,No,2024,October
BBU001678,2025-05-25,2025-07-06,\N,B+,Lagos University Teaching Hospital,Emergency,43,6,Expired,Inventory Overstock,42,Low,No,2025,May
BBU001679,2025-08-22,2025-10-03,\N,B+,Federal Medical Centre Owerri,Surgery,16,6,Available,\N,17,Medium,No,2025,August
BBU001680,2024-11-05,2024-12-17,2024-11-15,O+,Lagos University Teaching Hospital,Surgery,53,25,Transfused,\N,10,Low,No,2024,November
BBU001681,2024-03-05,2024-04-16,2024-03-09,B+,Federal Medical Centre Owerri,Surgery,21,14,Transfused,\N,4,Medium,No,2024,March
BBU001682,2023-08-12,2023-09-23,2023-09-04,A+,University College Hospital Ibadan,Emergency,44,16,Transfused,\N,23,Low,No,2023,August
BBU001683,2025-12-19,2026-01-30,2026-01-13,A-,University College Hospital Ibadan,Emergency,13,12,Transfused,\N,25,Medium,No,2025,December
BBU001684,2024-08-11,2024-09-22,2024-08-18,O-,Lagos University Teaching Hospital,ICU,6,17,Transfused,\N,7,High,Yes,2024,August
BBU001685,2024-10-10,2024-11-21,2024-10-31,A-,Lagos University Teaching Hospital,Trauma,24,13,Transfused,\N,21,Medium,No,2024,October
BBU001686,2024-12-25,2025-02-05,2025-01-05,O+,National Hospital Abuja,Trauma,79,16,Transfused,\N,11,Low,No,2024,December
BBU001687,2025-10-13,2025-11-24,\N,A+,National Hospital Abuja,Emergency,41,16,Expired,Damaged During Handling,42,Low,No,2025,October
BBU001688,2025-10-16,2025-11-27,2025-10-24,AB-,Lagos University Teaching Hospital,ICU,39,17,Transfused,\N,8,Low,No,2025,October
BBU001689,2024-04-21,2024-06-02,2024-04-26,O+,Lagos University Teaching Hospital,Surgery,65,21,Transfused,\N,5,Low,No,2024,April
BBU001690,2023-01-04,2023-02-15,2023-01-21,B+,Aminu Kano Teaching Hospital,Surgery,15,5,Transfused,\N,17,Medium,No,2023,January
BBU001691,2023-08-30,2023-10-11,2023-09-13,O+,Lagos University Teaching Hospital,Surgery,67,18,Transfused,\N,14,Low,No,2023,August
BBU001692,2025-04-29,2025-06-10,\N,B+,Aminu Kano Teaching Hospital,Emergency,34,5,Expired,Inventory Overstock,42,Low,No,2025,April
BBU001693,2024-12-17,2025-01-28,2025-01-18,AB+,Lagos University Teaching Hospital,Trauma,50,8,Transfused,\N,32,Low,No,2024,December
BBU001694,2024-03-10,2024-04-21,2024-03-19,A+,University College Hospital Ibadan,Surgery,8,15,Transfused,\N,9,High,Yes,2024,March
BBU001695,2024-07-30,2024-09-10,2024-08-04,B+,Aminu Kano Teaching Hospital,Emergency,24,17,Transfused,\N,5,Medium,No,2024,July
BBU001696,2024-09-22,2024-11-03,2024-10-02,O+,National Hospital Abuja,Surgery,39,28,Transfused,\N,10,Low,No,2024,September
BBU001697,2024-10-25,2024-12-06,\N,B+,Aminu Kano Teaching Hospital,Pediatrics,8,6,Available,\N,21,High,No,2024,October
BBU001698,2024-11-30,2025-01-11,2024-12-30,AB+,Federal Medical Centre Owerri,Surgery,40,7,Transfused,\N,30,Low,No,2024,November
BBU001699,2023-03-01,2023-04-12,2023-03-14,A+,University College Hospital Ibadan,Surgery,19,8,Transfused,\N,13,Medium,No,2023,March
BBU001700,2024-11-23,2025-01-04,2024-11-27,A-,Lagos University Teaching Hospital,ICU,38,12,Transfused,\N,4,Low,No,2024,November
BBU001701,2023-10-06,2023-11-17,2023-10-18,O+,Lagos University Teaching Hospital,ICU,50,16,Transfused,\N,12,Low,No,2023,October
BBU001702,2025-08-01,2025-09-12,2025-08-18,A+,University of Port Harcourt Teaching Hospital,Surgery,42,10,Transfused,\N,17,Low,No,2025,August
BBU001703,2025-04-27,2025-06-08,2025-05-12,O+,University of Port Harcourt Teaching Hospital,Emergency,79,13,Transfused,\N,15,Low,No,2025,April
BBU001704,2025-12-03,2026-01-14,2025-12-13,O+,University College Hospital Ibadan,Emergency,39,22,Transfused,\N,10,Low,No,2025,December
BBU001705,2023-02-08,2023-03-22,\N,O+,Federal Medical Centre Owerri,Obstetrics,33,22,Available,\N,22,Low,No,2023,February
BBU001706,2023-05-16,2023-06-27,2023-05-19,A+,Aminu Kano Teaching Hospital,Hematology,17,9,Transfused,\N,3,Medium,No,2023,May
BBU001707,2024-11-25,2025-01-06,2024-12-06,O+,Lagos University Teaching Hospital,Emergency,44,17,Transfused,\N,11,Low,No,2024,November
BBU001708,2025-03-08,2025-04-19,2025-03-14,B+,Aminu Kano Teaching Hospital,Emergency,19,14,Transfused,\N,6,Medium,No,2025,March
BBU001709,2024-09-23,2024-11-04,\N,A+,Aminu Kano Teaching Hospital,Emergency,28,16,Available,\N,2,Medium,No,2024,September
BBU001710,2024-07-10,2024-08-21,2024-07-19,O+,Lagos University Teaching Hospital,Hematology,46,14,Transfused,\N,9,Low,No,2024,July
BBU001711,2024-05-01,2024-06-12,2024-05-08,O-,Lagos University Teaching Hospital,Emergency,5,15,Transfused,\N,7,High,Yes,2024,May
BBU001712,2024-09-11,2024-10-23,2024-09-14,O-,University College Hospital Ibadan,Surgery,3,16,Transfused,\N,3,High,Yes,2024,September
BBU001713,2023-12-25,2024-02-05,2023-12-29,A+,Lagos University Teaching Hospital,Trauma,15,10,Transfused,\N,4,Medium,No,2023,December
BBU001714,2024-02-18,2024-03-31,2024-02-23,O-,Lagos University Teaching Hospital,Surgery,1,15,Transfused,\N,5,High,Yes,2024,February
BBU001715,2023-02-21,2023-04-04,2023-02-28,A+,Aminu Kano Teaching Hospital,Obstetrics,38,13,Transfused,\N,7,Low,No,2023,February
BBU001716,2024-01-25,2024-03-07,\N,O+,Aminu Kano Teaching Hospital,Emergency,41,27,Available,\N,33,Low,No,2024,January
BBU001717,2024-09-27,2024-11-08,2024-10-03,A+,University College Hospital Ibadan,Emergency,28,7,Transfused,\N,6,Medium,No,2024,September
BBU001718,2025-11-23,2026-01-04,\N,A+,National Hospital Abuja,Emergency,16,8,Expired,Damaged During Handling,42,Medium,No,2025,November
BBU001719,2023-03-16,2023-04-27,2023-04-10,A+,Federal Medical Centre Owerri,Surgery,37,11,Transfused,\N,25,Low,No,2023,March
BBU001720,2025-12-05,2026-01-16,2025-12-11,O+,University of Port Harcourt Teaching Hospital,Surgery,27,12,Transfused,\N,6,Medium,No,2025,December
BBU001721,2023-04-01,2023-05-13,2023-04-06,B+,University College Hospital Ibadan,ICU,46,18,Transfused,\N,5,Low,No,2023,April
BBU001722,2024-11-13,2024-12-25,\N,A-,Lagos University Teaching Hospital,Surgery,37,5,Available,\N,6,Low,No,2024,November
BBU001723,2025-12-02,2026-01-13,2025-12-04,O+,University College Hospital Ibadan,Trauma,69,21,Transfused,\N,2,Low,No,2025,December
BBU001724,2024-10-01,2024-11-12,2024-10-04,O-,University College Hospital Ibadan,Trauma,10,11,Transfused,\N,3,High,Yes,2024,October
BBU001725,2024-02-15,2024-03-28,2024-02-26,B+,University College Hospital Ibadan,Surgery,20,9,Transfused,\N,11,Medium,No,2024,February
BBU001726,2025-12-26,2026-02-06,2026-01-07,O+,Lagos University Teaching Hospital,Obstetrics,40,26,Transfused,\N,12,Low,No,2025,December
BBU001727,2023-08-29,2023-10-10,2023-09-02,O+,Lagos University Teaching Hospital,Pediatrics,37,16,Transfused,\N,4,Low,No,2023,August
BBU001728,2024-07-14,2024-08-25,2024-08-14,AB+,University College Hospital Ibadan,Hematology,22,2,Transfused,\N,31,Medium,No,2024,July
BBU001729,2025-11-18,2025-12-30,2025-11-28,O+,Lagos University Teaching Hospital,Emergency,26,18,Transfused,\N,10,Medium,No,2025,November
BBU001730,2024-12-18,2025-01-29,\N,O+,National Hospital Abuja,Surgery,55,22,Available,\N,17,Low,No,2024,December
BBU001731,2023-10-17,2023-11-28,2023-10-19,O-,Lagos University Teaching Hospital,ICU,4,17,Transfused,\N,2,High,Yes,2023,October
BBU001732,2023-12-17,2024-01-28,2024-01-08,A+,University College Hospital Ibadan,Obstetrics,12,9,Transfused,\N,22,Medium,No,2023,December
BBU001733,2024-11-24,2025-01-05,2024-11-28,B+,University College Hospital Ibadan,Emergency,42,12,Transfused,\N,4,Low,No,2024,November
BBU001734,2023-09-24,2023-11-05,2023-10-18,A+,Aminu Kano Teaching Hospital,ICU,9,12,Transfused,\N,24,High,Yes,2023,September
BBU001735,2023-04-14,2023-05-26,2023-04-16,O+,University College Hospital Ibadan,Surgery,26,24,Transfused,\N,2,Medium,No,2023,April
BBU001736,2023-06-26,2023-08-07,\N,B+,National Hospital Abuja,Emergency,35,11,Available,\N,11,Low,No,2023,June
BBU001737,2025-07-02,2025-08-13,2025-07-14,A+,Lagos University Teaching Hospital,Emergency,47,10,Transfused,\N,12,Low,No,2025,July
BBU001738,2024-11-11,2024-12-23,2024-12-14,AB+,University of Port Harcourt Teaching Hospital,ICU,27,7,Transfused,\N,33,Medium,No,2024,November
BBU001739,2025-12-28,2026-02-08,2026-01-14,A+,Federal Medical Centre Owerri,Surgery,13,17,Transfused,\N,17,Medium,Yes,2025,December
BBU001740,2023-09-27,2023-11-08,2023-10-22,A+,University of Port Harcourt Teaching Hospital,Trauma,13,18,Transfused,\N,25,Medium,Yes,2023,September
BBU001741,2025-08-17,2025-09-28,2025-08-29,A+,Aminu Kano Teaching Hospital,Obstetrics,14,12,Transfused,\N,12,Medium,No,2025,August
BBU001742,2025-08-11,2025-09-22,2025-08-16,O+,Federal Medical Centre Owerri,Surgery,50,19,Transfused,\N,5,Low,No,2025,August
BBU001743,2023-10-22,2023-12-03,2023-11-05,B+,Lagos University Teaching Hospital,ICU,47,9,Transfused,\N,14,Low,No,2023,October
BBU001744,2025-03-13,2025-04-24,2025-03-27,O+,National Hospital Abuja,Surgery,31,22,Transfused,\N,14,Low,No,2025,March
BBU001745,2024-10-27,2024-12-08,\N,B+,University of Port Harcourt Teaching Hospital,Emergency,37,12,Available,\N,1,Low,No,2024,October
BBU001746,2023-05-14,2023-06-25,2023-05-21,O+,Aminu Kano Teaching Hospital,Oncology,50,15,Transfused,\N,7,Low,No,2023,May
BBU001747,2025-09-07,2025-10-19,2025-09-15,B+,University College Hospital Ibadan,ICU,37,18,Transfused,\N,8,Low,No,2025,September
BBU001748,2024-08-01,2024-09-12,2024-08-12,O+,Aminu Kano Teaching Hospital,Emergency,69,23,Transfused,\N,11,Low,No,2024,August
BBU001749,2023-09-18,2023-10-30,2023-09-26,O+,Aminu Kano Teaching Hospital,ICU,52,15,Transfused,\N,8,Low,No,2023,September
